SQUEEZE_PERCENTILE,SQUEEZE_LOOKBACK,BREAKOUT_BARS,BREAKOUT_THRESHOLD,ATR_MULTIPLIER,TP_RATIO,RISK_PER_TRADE,total_return,win_rate,profit_factor,max_drawdown,total_trades,final_balance,score
20,20,3,0.005,2.0,2.0,0.02,10.075515448107309,44.44444444444444,1.506393680852621,4.2473030530611595,18,11007.55154481073,46.09
20,20,3,0.003,2.0,2.0,0.02,10.075515448107309,44.44444444444444,1.506393680852621,4.2473030530611595,18,11007.55154481073,46.09
20,20,3,0.002,2.0,2.0,0.02,9.749419270371364,44.44444444444444,1.490004756294356,4.530968211068301,18,10974.941927037136,45.87
20,20,3,0.003,2.0,2.0,0.01,5.991496435740828,44.44444444444444,1.6007592433167852,1.9998552370418472,18,10599.149643574083,45.13
20,20,3,0.005,2.0,2.0,0.01,5.991496435740828,44.44444444444444,1.6007592433167852,1.9998552370418472,18,10599.149643574083,45.13
20,20,3,0.002,2.0,2.0,0.01,5.991648123714822,44.44444444444444,1.6007835905116015,1.9998552370418472,18,10599.164812371482,45.13
20,20,1,0.003,1.5,3.0,0.02,10.651058294229733,36.36363636363637,1.8305407370899178,5.998232166747294,11,11065.105829422973,43.37
20,20,1,0.005,1.5,3.0,0.02,10.651058294229733,36.36363636363637,1.8305407370899178,5.998232166747294,11,11065.105829422973,43.37
20,20,1,0.002,1.5,3.0,0.02,10.651058294229733,36.36363636363637,1.8305407370899178,5.998232166747294,11,11065.105829422973,43.37
15,20,1,0.003,2.0,3.0,0.01,6.666028579808808,37.5,1.6680157897284462,4.997806019372328,16,10666.60285798088,42.42
15,20,1,0.002,2.0,3.0,0.01,6.666028579808808,37.5,1.6680157897284462,4.997806019372328,16,10666.60285798088,42.42
15,20,1,0.005,2.0,3.0,0.01,6.666028579808808,37.5,1.6680157897284462,4.997806019372328,16,10666.60285798088,42.42
20,20,1,0.003,1.5,3.0,0.01,4.992852920676269,36.36363636363637,1.7143225193547211,2.999558022490746,11,10499.285292067627,42.01
20,20,1,0.005,1.5,3.0,0.01,4.992852920676269,36.36363636363637,1.7143225193547211,2.999558022490746,11,10499.285292067627,42.01
20,20,1,0.002,1.5,3.0,0.01,4.992852920676269,36.36363636363637,1.7143225193547211,2.999558022490746,11,10499.285292067627,42.01
15,20,1,0.002,2.0,4.0,0.01,8.22239340469423,33.33333333333333,1.823798010717792,4.997806019372328,15,10822.239340469423,41.79
15,20,1,0.003,2.0,4.0,0.01,8.22239340469423,33.33333333333333,1.823798010717792,4.997806019372328,15,10822.239340469423,41.79
15,20,1,0.005,2.0,4.0,0.01,8.22239340469423,33.33333333333333,1.823798010717792,4.997806019372328,15,10822.239340469423,41.79
15,20,1,0.002,2.0,3.0,0.02,7.584014189416576,37.5,1.3871497399735184,9.991225730953756,16,10758.401418941658,41.29
15,20,1,0.005,2.0,3.0,0.02,7.584014189416576,37.5,1.3871497399735184,9.991225730953756,16,10758.401418941658,41.29
15,20,1,0.003,2.0,3.0,0.02,7.584014189416576,37.5,1.3871497399735184,9.991225730953756,16,10758.401418941658,41.29
15,20,3,0.003,2.0,2.0,0.01,2.9899074662997007,36.666666666666664,1.1580305682703695,3.9987543383009685,30,10298.99074662997,41.0
15,20,3,0.002,2.0,2.0,0.01,2.9899074662997007,36.666666666666664,1.1580305682703695,3.9987543383009685,30,10298.99074662997,41.0
15,20,3,0.005,2.0,2.0,0.01,2.98990291155038,36.666666666666664,1.1580313030407088,3.9987543383009685,30,10298.990291155038,41.0
20,20,3,0.005,1.5,3.0,0.01,4.987316794436793,33.33333333333333,1.500038424430625,3.8395587056742326,15,10498.73167944368,40.84
20,20,3,0.002,1.5,3.0,0.01,4.987409531768062,33.33333333333333,1.5000523719649395,3.8395587056742326,15,10498.740953176806,40.84
20,20,3,0.003,1.5,3.0,0.01,4.987316794436793,33.33333333333333,1.500038424430625,3.8395587056742326,15,10498.73167944368,40.84
15,20,3,0.005,2.0,2.0,0.02,5.127825666294812,36.666666666666664,1.1398970652206748,7.995018013964472,30,10512.782566629481,40.65
15,20,3,0.003,2.0,2.0,0.02,5.12781537643059,36.666666666666664,1.1398951073519183,7.995018013964472,30,10512.781537643059,40.65
