timestamp,open,high,low,close,volume
1735660800000,198.45,199.2,197.52,198.96,30496.895278
1735664400000,198.96,199.25,194.14,196.09,36947.262007
1735668000000,196.11,196.7,194.46,194.63,17479.561656
1735671600000,194.64,195.2,193.2,193.8,26902.706456
1735675200000,193.77,194.83,193.75,194.04,9239.627818
1735678800000,194.01,194.37,192.51,193.15,15392.445227
1735682400000,193.15,193.15,190.75,191.16,15010.157477
1735686000000,191.18,191.21,189.2,189.29,24630.571585
1735689600000,189.32,192.68,189.11,192.52,25128.717548
1735693200000,192.55,192.64,190.39,190.7,10632.47385
1735696800000,190.72,192.08,190.42,191.61,9355.625646
1735700400000,191.61,191.61,190.03,190.41,8883.025289
1735704000000,190.42,190.42,189.34,189.48,15245.7085
1735707600000,189.49,190.68,189.35,190.13,8847.193283
1735711200000,190.15,190.33,189.42,190.3,7626.588115
1735714800000,190.3,190.38,189.72,190.06,9855.011852
1735718400000,190.06,190.78,189.3,189.39,12156.476672
1735722000000,189.4,189.73,188,189.19,18297.49214
1735725600000,189.2,191,189.2,190.26,12240.178968
1735729200000,190.26,191.88,189.94,191.32,23730.028419
1735732800000,191.33,191.74,190.5,190.97,19425.896372
1735736400000,190.96,191.32,189.57,190.25,17314.622133
1735740000000,190.25,191.47,189.16,190.89,13064.840719
1735743600000,190.9,192.13,189.98,191.91,12537.122673
1735747200000,191.9,192.25,190.09,190.54,10114.588544
1735750800000,190.54,190.63,189.24,190.59,14601.811886
1735754400000,190.61,192.25,189.88,191.69,9761.440968
1735758000000,191.73,193.89,191.5,193.08,17573.050891
1735761600000,193.08,194.56,193.08,194.34,15542.296444
1735765200000,194.33,195.3,193.7,194.66,13513.863162
1735768800000,194.69,194.92,193.69,194.54,9549.847303
1735772400000,194.51,195.12,193.77,194.3,9258.193414
1735776000000,194.28,197.16,193.43,196.24,34069.160107
1735779600000,196.25,198.46,196.11,197.68,29415.157989
1735783200000,197.69,199.4,197.44,199.38,39859.285653
1735786800000,199.38,199.66,197.7,198.5,28495.876426
1735790400000,198.52,204.83,198.52,204.42,74953.502324
1735794000000,204.41,205.49,203.31,204.61,38649.696328
