timestamp,open,high,low,close,volume
1740916800000,2239.01,2240.51,2223.08,2233.25,4577.517832
1740920400000,2233.01,2233.09,2206.65,2212.38,7046.293139
1740924000000,2212.31,2214.64,2172,2196.3,8534.124754
1740927600000,2196.46,2291.96,2196.01,2229.99,45030.349854
1740931200000,2230,2500,2212.84,2443.18,136236.066064
1740934800000,2442.44,2510.95,2395.56,2480.66,65491.620522
1740938400000,2480.67,2518.32,2453.03,2475,27442.029583
1740942000000,2474.72,2501.39,2466.16,2486.29,8182.746276
1740945600000,2486.02,2521.48,2480.14,2510.89,9408.727894
1740949200000,2510.72,2542.6,2499.01,2525.25,16518.805863
1740952800000,2525.24,2549.97,2507.28,2538.67,12206.819894
1740956400000,2538.67,2551.3,2508.17,2518.04,21225.804898
1740960000000,2518.04,2523.78,2464.37,2465.59,25257.601245
1740963600000,2465.6,2476.52,2450.56,2458.8,9462.326125
1740967200000,2458.8,2461.95,2418.84,2447.71,10552.221174
1740970800000,2447.59,2460,2425.59,2441.5,7814.378672
1740974400000,2441.52,2453.07,2432.97,2450.79,7939.934626
1740978000000,2450.41,2457.5,2441,2450.13,3497.277558
1740981600000,2449.91,2450.3,2360.21,2373.07,16099.426775
1740985200000,2372.96,2392.44,2353.27,2387.37,9269.131677
1740988800000,2387.34,2388.29,2330,2345.2,11231.954995
1740992400000,2345.49,2355.43,2321.9,2347.4,11042.187063
1740996000000,2347.4,2366.38,2340.72,2359.39,6334.365347
1740999600000,2359.01,2363.21,2344.82,2356.79,3093.373893
1741003200000,2356.36,2376.91,2352.29,2367.6,6775.739919
1741006800000,2367.73,2389.29,2361.32,2376.58,6906.336704
1741010400000,2376.32,2380.79,2266.66,2275.19,32205.926773
1741014000000,2275.2,2309.77,2269.33,2287.4,22639.157804
1741017600000,2287.71,2296.72,2257.37,2277.47,10380.622408
1741021200000,2277.2,2297.58,2265.6,2277.11,5746.882922
1741024800000,2277.2,2280.31,2178.1,2193.03,37874.079736
1741028400000,2193.45,2207.92,2096,2109.71,41909.925782
1741032000000,2110.06,2140.07,2097.5,2129.01,23918.420802
1741035600000,2129.31,2147.23,2103.73,2111.71,7821.214721
1741039200000,2111.99,2173.69,2110.8,2166.43,7321.321607
1741042800000,2166.55,2166.55,2142.85,2149.28,5748.515933
1741046400000,2149.3,2167.58,2121.39,2125.7,12230.157295
1741050000000,2125.5,2134.55,2025.83,2056.66,67498.455611
1741053600000,2057.05,2081.98,2002.6,2067.72,34703.384215
1741057200000,2067.86,2092.75,2054.32,2074.71,8056.451844
1741060800000,2075.1,2093.6,2070.63,2081.9,8441.033281
1741064400000,2082.18,2123.65,2078.2,2107.16,10089.477691
1741068000000,2107.15,2111.84,2090,2097.61,5004.936576
1741071600000,2097.6,2102.97,2068,2080.8,8222.819825
1741075200000,2080.8,2106.79,2070.69,2099.18,6190.301215
1741078800000,2099,2112.12,2085.14,2087.89,4733.551157
1741082400000,2088.2,2108.02,2078.81,2100.8,4070.879919
