SQUEEZE_PERCENTILE,SQUEEZE_LOOKBACK,BREAKOUT_BARS,BREAKOUT_THRESHOLD,ATR_MULTIPLIER,TP_RATIO,RISK_PER_TRADE,total_return,win_rate,profit_factor,max_drawdown,total_trades,final_balance,score
25,20,3,0.005,2.0,2.0,0.02,12.938595733632955,42.30769230769231,1.4339917501571309,7.269093439940236,26,11293.859573363296,45.69
15,20,1,0.002,1.5,4.0,0.02,27.085177765113787,27.27272727272727,1.4603936027271298,11.361282699723011,44,12708.517776511379,45.61
15,20,1,0.005,1.5,4.0,0.02,27.085177765113787,27.27272727272727,1.4603936027271298,11.361282699723011,44,12708.517776511379,45.61
15,20,1,0.003,1.5,4.0,0.02,27.085177765113787,27.27272727272727,1.4603936027271298,11.361282699723011,44,12708.517776511379,45.61
30,20,2,0.002,2.0,4.0,0.01,11.98910536885769,38.46153846153847,2.500682413541625,2.9997558913369904,13,11198.910536885769,45.43
30,20,2,0.003,2.0,4.0,0.01,11.98910536885769,38.46153846153847,2.500682413541625,2.9997558913369904,13,11198.910536885769,45.43
15,20,2,0.002,1.5,5.0,0.02,29.11099439487747,22.916666666666664,1.4418225685922004,10.420961594160591,48,12911.099439487747,45.39
15,20,2,0.005,1.5,5.0,0.02,29.11099439487747,22.916666666666664,1.4418225685922004,10.420961594160591,48,12911.099439487747,45.39
15,20,3,0.002,2.0,4.0,0.01,19.983714721510566,30.0,1.7184697769975303,5.460916327205762,40,11998.371472151057,45.36
15,20,3,0.003,2.0,4.0,0.01,19.9830563193936,30.0,1.7184841995459916,5.460562504950481,40,11998.30563193936,45.36
15,20,3,0.005,2.0,4.0,0.01,19.983586963555627,30.0,1.7184530648172307,5.461020682923495,40,11998.358696355563,45.36
30,20,1,0.002,2.0,3.0,0.01,6.99761223327063,44.44444444444444,2.400600276306159,2.724214195617475,9,10699.761223327063,45.32
30,20,1,0.003,2.0,3.0,0.01,6.99761223327063,44.44444444444444,2.400600276306159,2.724214195617475,9,10699.761223327063,45.32
30,20,1,0.002,1.5,2.0,0.01,4.9966201694341,46.15384615384615,1.714931622159926,1.8639235378939862,13,10499.66201694341,45.29
30,20,1,0.003,1.5,2.0,0.01,4.9966201694341,46.15384615384615,1.714931622159926,1.8639235378939862,13,10499.66201694341,45.29
20,20,3,0.002,2.0,2.0,0.02,14.253185853190972,40.0,1.267384750427297,8.886417483769177,45,11425.318585319097,45.04
20,20,3,0.003,2.0,2.0,0.02,14.253185853190972,40.0,1.267384750427297,8.886417483769177,45,11425.318585319097,45.04
15,20,3,0.002,1.5,4.0,0.02,25.034835173090958,25.925925925925924,1.350069345586414,9.502432838134093,54,12503.483517309096,44.94
15,20,3,0.005,1.5,4.0,0.02,25.03430997851443,25.925925925925924,1.3500513958533908,9.502432838134093,54,12503.430997851443,44.94
30,20,2,0.002,2.0,2.0,0.01,5.994469506922851,44.44444444444444,1.6005473952824298,2.7429978379792748,18,10599.446950692285,44.91
30,20,2,0.003,2.0,2.0,0.01,5.994469506922851,44.44444444444444,1.6005473952824298,2.7429978379792748,18,10599.446950692285,44.91
30,20,3,0.005,2.0,2.0,0.01,5.994170112832617,44.44444444444444,1.6004653175781638,2.8820934332614447,18,10599.417011283262,44.87
30,20,3,0.003,2.0,2.0,0.01,5.994170112832617,44.44444444444444,1.6004653175781638,2.8820934332614447,18,10599.417011283262,44.87
30,20,3,0.002,2.0,2.0,0.01,5.994170112832617,44.44444444444444,1.6004653175781638,2.8820934332614447,18,10599.417011283262,44.87
30,20,1,0.005,2.0,3.0,0.02,11.99724409083239,40.0,2.0016217583500504,6.650567267685963,10,11199.72440908324,44.8
15,20,2,0.002,2.0,4.0,0.01,20.99437955364101,29.545454545454547,1.6823221460732307,8.254608987558106,44,12099.437955364101,44.79
15,20,2,0.005,2.0,4.0,0.01,20.99437955364101,29.545454545454547,1.6823221460732307,8.254608987558106,44,12099.437955364101,44.79
15,20,2,0.003,2.0,4.0,0.01,20.99353821199775,29.545454545454547,1.6823242642561782,8.254190158770745,44,12099.353821199775,44.78
25,20,1,0.005,2.0,3.0,0.01,9.980159012714685,38.88888888888889,1.9092892775838342,2.999637413075907,18,10998.015901271468,44.76
30,20,3,0.002,2.0,5.0,0.02,19.985412846066627,28.57142857142857,2.0022448511131827,6.218644364145434,14,11998.541284606663,44.7
30,20,3,0.003,2.0,5.0,0.02,19.985412846066627,28.57142857142857,2.0022448511131827,6.218644364145434,14,11998.541284606663,44.7
30,20,3,0.005,2.0,5.0,0.02,19.985412846066627,28.57142857142857,2.0022448511131827,6.218644364145434,14,11998.541284606663,44.7
30,20,2,0.005,2.0,5.0,0.02,19.969442804685478,28.57142857142857,2.0015069845166242,6.2185853059786265,14,11996.944280468548,44.69
20,20,3,0.005,2.0,2.0,0.02,13.39535298296014,40.0,1.2513476516416937,8.953207699556339,45,11339.535298296014,44.67
30,20,1,0.003,2.0,2.0,0.01,3.998070332008156,45.45454545454545,1.6669617319091492,1.9212855939293734,11,10399.807033200816,44.66
30,20,1,0.002,2.0,2.0,0.01,3.998070332008156,45.45454545454545,1.6669617319091492,1.9212855939293734,11,10399.807033200816,44.66
25,20,2,0.005,2.0,2.0,0.01,6.981770072887139,42.30769230769231,1.466891771875523,2.8784296807434844,26,10698.177007288714,44.62
25,20,2,0.003,2.0,2.0,0.01,6.981770072887139,42.30769230769231,1.466891771875523,2.8784296807434844,26,10698.177007288714,44.62
15,20,3,0.003,1.5,4.0,0.02,24.013375727105668,25.925925925925924,1.33578316940387,9.502432838134093,54,12401.337572710567,44.53
25,20,1,0.005,2.0,2.0,0.02,10.09112540337499,41.66666666666667,1.3623432732949317,7.269214842215073,24,11009.112540337499,44.36
25,20,3,0.002,2.0,2.0,0.01,6.98182600249871,42.30769230769231,1.4669398417639696,3.802280335331713,26,10698.182600249871,44.34
25,20,3,0.003,2.0,2.0,0.01,6.98182600249871,42.30769230769231,1.4669398417639696,3.802280335331713,26,10698.182600249871,44.34
25,20,3,0.005,2.0,2.0,0.01,6.98182600249871,42.30769230769231,1.4669398417639696,3.802280335331713,26,10698.182600249871,44.34
30,20,3,0.002,2.0,3.0,0.01,8.998606274216781,40.0,2.0015710350576414,4.374424457795376,15,10899.860627421678,44.29
30,20,3,0.003,2.0,3.0,0.01,8.998606274216781,40.0,2.0015710350576414,4.374424457795376,15,10899.860627421678,44.29
30,20,3,0.005,2.0,3.0,0.01,8.998616483135356,40.0,2.0015733094099897,4.374415501408246,15,10899.861648313536,44.29
20,20,3,0.002,2.0,2.0,0.01,8.986315265710001,40.0,1.3350980800940906,4.705406591312567,45,10898.631526571,44.18
20,20,3,0.003,2.0,2.0,0.01,8.986315265710001,40.0,1.3350980800940906,4.705406591312567,45,10898.631526571,44.18
20,20,3,0.005,2.0,2.0,0.01,8.985803738576433,40.0,1.3351512409286188,4.7043968407851295,45,10898.580373857643,44.18
25,20,2,0.002,2.0,2.0,0.02,9.601532567384947,40.0,1.3217986521811185,5.768524994940767,25,10960.153256738495,44.11
30,20,3,0.005,2.0,4.0,0.01,10.997458090961755,35.714285714285715,2.2239005581127187,3.4691119542588003,14,11099.745809096175,44.07
30,20,3,0.002,2.0,4.0,0.01,10.997458090961755,35.714285714285715,2.2239005581127187,3.4691119542588003,14,11099.745809096175,44.07
30,20,3,0.003,2.0,4.0,0.01,10.997458090961755,35.714285714285715,2.2239005581127187,3.4691119542588003,14,11099.745809096175,44.07
30,20,2,0.005,2.0,4.0,0.01,10.9925687465973,35.714285714285715,2.2233485902529124,3.4690254442585813,14,11099.25687465973,44.07
30,20,2,0.003,1.5,3.0,0.02,14.125021456523374,35.294117647058826,1.6492072281453611,7.893196679980234,17,11412.502145652337,43.87
30,20,2,0.002,1.5,3.0,0.02,14.125021456523374,35.294117647058826,1.6492072281453611,7.893196679980234,17,11412.502145652337,43.87
25,20,1,0.005,2.0,2.0,0.01,5.990447778226753,41.66666666666667,1.4290778137679199,3.8023133501019784,24,10599.044777822675,43.76
20,20,2,0.002,2.0,4.0,0.02,21.97861105016444,28.125,1.4922525985420385,11.817780242515946,32,12197.861105016444,43.68
